,METRO_ID,Metropolitan areas,VAR,Variables,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
142,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,35.67,,
143,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,36.11,,
144,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,36.55,,
145,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,37.01,,
146,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,37.47,,
147,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,37.81,,
148,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,38.16,,
149,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,38.52,,
150,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,389.4,,
151,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,395.69,,
152,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,400.83,,
153,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,406.06,,
154,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,411.37,,
155,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,416.77,,
156,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,422.26,,
157,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,430.57,,
158,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,439.07,,
159,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,447.78,,
160,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,456.69,,
161,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,465.82,,
162,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,473.62,,
163,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,481.58,,
164,CAN09,Vancouver,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,489.7,,
165,CAN16,Quebec,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,119.21,,
166,CAN16,Quebec,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,120.64,,
167,CAN16,Quebec,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,121.59,,
168,CAN16,Quebec,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,122.56,,
169,CAN16,Quebec,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,123.53,,
170,CAN16,Quebec,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,124.52,,
171,CAN16,Quebec,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,125.52,,
172,CAN16,Quebec,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,127.57,,
173,CAN16,Quebec,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,129.67,,
174,CAN16,Quebec,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,131.81,,
175,CAN16,Quebec,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,133.99,,
176,CAN16,Quebec,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,136.23,,
177,CAN16,Quebec,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,137.93,,
178,CAN16,Quebec,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,139.65,,
179,CAN16,Quebec,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,141.41,,
180,CAN20,Montreal,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,336.83,,
181,CAN20,Montreal,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,340.83,,
182,CAN20,Montreal,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,344.62,,
183,CAN20,Montreal,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,348.49,,
184,CAN20,Montreal,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,352.44,,
185,CAN20,Montreal,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,356.48,,
186,CAN20,Montreal,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,360.61,,
187,CAN20,Montreal,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,365.39,,
188,CAN20,Montreal,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,370.27,,
189,CAN20,Montreal,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,375.26,,
190,CAN20,Montreal,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,380.35,,
191,CAN20,Montreal,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,385.56,,
192,CAN20,Montreal,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,390.55,,
193,CAN20,Montreal,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,395.65,,
194,CAN20,Montreal,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,400.85,,
195,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,69.57,,
196,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,70.61,,
197,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,71.37,,
198,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,72.15,,
199,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,72.94,,
200,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,73.74,,
201,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,74.55,,
202,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,75.96,,
203,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,77.4,,
204,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,78.87,,
205,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,80.37,,
206,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,81.9,,
207,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,83.13,,
208,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,84.39,,
209,CAN21,Ottawa-Gatineau,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,85.66,,
210,CAN26,Toronto,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,371.86,,
211,CAN26,Toronto,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,378.17,,
212,CAN26,Toronto,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,384.73,,
213,CAN26,Toronto,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,391.57,,
214,CAN26,Toronto,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,398.69,,
215,CAN26,Toronto,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,406.12,,
216,CAN26,Toronto,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,413.88,,
217,CAN26,Toronto,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,421.41,,
218,CAN26,Toronto,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,429.16,,
219,CAN26,Toronto,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,437.13,,
