,METRO_ID,Metropolitan areas,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
155,KR022,Pohang,633.07,630.12,627.69,625.8,624.46,623.68,623.47,623.84,624.8,626.37,628.56,631.4,634.9,639.08,643.97
156,KR025,Daegu,2360.29,2351.45,2344.55,2339.67,2336.87,2336.26,2337.94,2342.03,2348.67,2358.02,2370.26,2385.6,2404.29,2426.59,2452.84
157,KR026,Jeonju,1324.2,1324.16,1325.33,1327.75,1331.48,1336.58,1343.14,1351.23,1360.93,1372.36,1385.62,1400.85,1418.17,1437.75,1459.75
158,KR029,Ulsan,1311.31,1314.26,1318.52,1324.12,1331.11,1339.53,1349.42,1360.86,1373.89,1388.6,1405.06,1423.36,1443.6,1465.89,1490.35
159,KR032,Busan,5081.01,5032.79,4987.91,4946.41,4908.33,4873.75,4842.73,4815.36,4791.75,4771.99,4756.24,4744.66,4737.4,4734.64,4736.62
160,KR033,Changwon,4977.86,4922.5,4869.21,4818.01,4768.85,4721.71,4676.53,4633.35,4592.13,4552.85,4515.49,4480.06,4446.54,4414.91,4385.2
161,KR035,Gwangju,2042.06,2043.62,2047.99,2055.29,2065.68,2079.36,2096.54,2117.44,2142.36,2171.58,2205.45,2244.35,2288.73,2339.07,2395.9
162,MEX,Mexico,49.76,50.33,50.91,51.5,52.1,52.71,53.6,54.51,55.43,56.37,57.34,59.04,59.74,60.43,61.1
163,MEX01,Mexicali,45.42,46.65,47.9,49.19,50.52,51.88,53.27,54.71,56.18,57.69,59.24,60.84,62.48,64.16,65.88
164,MEX02,Tijuana,878.75,909.95,942.25,975.71,1010.35,1046.22,1083.37,1121.83,1161.66,1202.91,1245.61,1289.84,1335.63,1383.06,1432.16
165,MEX05,Juárez,318.63,323.63,328.71,333.88,339.12,344.44,349.85,355.34,360.92,366.59,372.35,378.19,384.13,390.16,396.29
166,MEX08,Hermosillo,35.79,36.73,37.69,38.68,39.69,40.73,41.79,42.88,44.01,45.16,46.34,47.55,48.79,50.07,51.38
167,MEX10,Chihuahua,75.66,77.29,78.95,80.65,82.39,84.17,85.99,87.85,89.75,91.7,93.69,95.73,97.82,99.95,102.14
168,MEX16,Reynosa,110.54,114.31,118.21,122.26,126.46,130.82,135.34,140.02,144.89,149.93,155.16,160.59,166.22,172.06,178.12
169,MEX19,Monterrey,302.92,307.67,312.85,318.51,324.71,331.52,339.01,347.29,356.46,366.65,378.0,390.7,404.95,420.99,439.12
170,MEX20,Torreón,88.97,90.71,92.48,94.29,96.13,98.02,99.93,101.89,103.89,105.92,108.0,110.12,112.28,114.48,116.73
171,MEX21,Saltillo,102.79,105.26,107.79,110.38,113.04,115.76,118.54,121.39,124.31,127.3,130.36,133.5,136.71,140.0,143.37
172,MEX22,Culiacán,118.7,120.47,122.26,124.09,125.94,127.81,129.72,131.65,133.61,135.6,137.62,139.68,141.76,143.87,146.01
173,MEX24,Durango,52.92,53.88,54.86,55.86,56.88,57.92,58.97,60.05,61.14,62.26,63.39,64.55,65.72,66.92,68.14
174,MEX28,Tampico,311.18,315.58,320.15,324.92,329.89,335.06,340.45,346.07,351.93,358.05,364.43,371.09,378.05,385.31,392.91
175,MEX29,San Luis Potosí,184.92,188.58,192.34,196.19,200.13,204.18,208.33,212.59,216.96,221.45,226.05,230.77,235.62,240.6,245.72
176,MEX31,Aguascalientes,319.6,327.72,336.06,344.65,353.48,362.56,371.91,381.53,391.43,401.62,412.12,422.92,434.05,445.51,457.32
177,MEX33,Benito Juárez,197.9,207.4,217.36,227.81,238.75,250.21,262.23,274.83,288.03,301.86,316.36,331.56,347.49,364.18,381.67
178,MEX34,León,721.74,739.69,758.09,776.95,796.28,816.09,836.39,857.2,878.53,900.38,922.79,945.74,969.27,993.39,1018.1
179,MEX35,Mérida,87.86,89.41,91.0,92.63,94.3,96.01,97.78,99.58,101.44,103.35,105.32,107.34,109.42,111.57,113.78
180,MEX37,Guadalajara,1470.0,1491.69,1514.9,1539.76,1566.41,1595.02,1625.76,1658.84,1694.49,1732.97,1774.56,1819.59,1868.42,1921.45,1979.15
181,MEX38,Irapuato,515.38,525.61,536.05,546.7,557.56,568.64,579.93,591.45,603.2,615.18,627.4,639.87,652.58,665.54,678.76
182,MEX40,Querétaro,335.77,345.89,356.39,367.28,378.58,390.31,402.49,415.14,428.28,441.94,456.15,470.92,486.29,502.29,518.95
