,METRO_ID,Metropolitan areas,VAR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
84,DE008,Leipzig,POP_DENS,405.7,404.44,403.22,402.03,400.88,399.77,398.69,397.65,396.65,395.67,394.73,393.83,392.95,392.11,391.3
85,DE009,Dresden,GREEN_AREA_PC,528.44,527.24,525.99,524.71,523.39,522.03,520.64,519.21,517.75,516.25,514.72,513.16,511.57,509.94,508.28
86,DE009,Dresden,POP_DENS,475.05,476.13,477.25,478.42,479.63,480.88,482.16,483.49,484.85,486.26,487.71,489.19,490.71,492.28,493.88
87,DE010,Dortmund,GREEN_AREA_PC,60.77,61.13,61.49,61.85,62.22,62.58,62.95,63.31,63.68,64.05,64.41,64.78,65.15,65.52,65.89
88,DE010,Dortmund,POP_DENS,1592.62,1583.19,1573.86,1564.63,1555.48,1546.42,1537.45,1528.57,1519.77,1511.06,1502.43,1493.89,1485.43,1477.05,1468.74
89,DE011,Düsseldorf,GREEN_AREA_PC,53.71,53.72,53.74,53.75,53.76,53.77,53.78,53.79,53.8,53.8,53.81,53.81,53.82,53.82,53.82
90,DE011,Düsseldorf,POP_DENS,1262.95,1262.61,1262.29,1261.99,1261.72,1261.47,1261.24,1261.04,1260.86,1260.7,1260.57,1260.46,1260.37,1260.31,1260.27
91,DE012,Bremen,GREEN_AREA_PC,1428.29,1427.88,1427.46,1427.05,1426.61,1426.16,1425.69,1425.21,1424.72,1424.22,1423.69,1423.15,1422.6,1422.03,1421.46
92,DE012,Bremen,POP_DENS,321.84,321.93,322.03,322.12,322.22,322.32,322.43,322.54,322.65,322.76,322.88,323.0,323.13,323.26,323.39
93,DE013,Hanover,GREEN_AREA_PC,553.84,554.52,555.19,555.86,556.52,557.18,557.83,558.47,559.11,559.74,560.36,560.97,561.58,562.18,562.78
94,DE013,Hanover,POP_DENS,400.28,399.79,399.31,398.83,398.35,397.88,397.42,396.96,396.51,396.07,395.63,395.19,394.76,394.34,393.92
95,DE014,Nuremberg,GREEN_AREA_PC,682.06,681.8,681.53,681.26,680.98,680.68,680.39,680.08,679.77,679.45,679.12,678.79,678.44,678.09,677.73
96,DE014,Nuremberg,POP_DENS,372.11,372.25,372.4,372.55,372.71,372.87,373.03,373.2,373.37,373.54,373.72,373.91,374.1,374.29,374.49
97,DE015,Bochum,GREEN_AREA_PC,25.12,25.36,25.6,25.84,26.08,26.32,26.57,26.82,27.07,27.32,27.58,27.84,28.1,28.36,28.62
98,DE015,Bochum,POP_DENS,2217.2,2196.56,2176.12,2155.88,2135.84,2115.99,2096.35,2076.9,2057.64,2038.57,2019.68,2000.99,1982.47,1964.14,1945.99
99,DE027,Freiburg im Breisgau,GREEN_AREA_PC,615.8,613.29,610.77,608.26,605.76,603.25,600.75,598.25,595.76,593.27,590.78,588.3,585.82,583.34,580.87
100,DE027,Freiburg im Breisgau,POP_DENS,334.07,335.44,336.83,338.22,339.61,341.02,342.44,343.87,345.31,346.76,348.22,349.69,351.17,352.66,354.16
101,DE033,Augsburg,GREEN_AREA_PC,771.93,769.45,766.96,764.47,761.98,759.48,756.98,754.47,751.96,749.44,746.92,744.39,741.86,739.33,736.79
102,DE033,Augsburg,POP_DENS,320.87,321.9,322.95,324.0,325.06,326.13,327.2,328.29,329.39,330.5,331.61,332.74,333.87,335.02,336.17
103,DE034,Bonn,GREEN_AREA_PC,117.57,117.42,117.26,117.1,116.94,116.78,116.62,116.45,116.29,116.13,115.96,115.79,115.63,115.46,115.29
104,DE034,Bonn,POP_DENS,689.8,690.72,691.65,692.59,693.53,694.48,695.45,696.42,697.4,698.39,699.39,700.4,701.42,702.44,703.48
105,DE035,Karlsruhe,GREEN_AREA_PC,229.24,228.61,227.97,227.33,226.68,226.04,225.4,224.75,224.1,223.45,222.8,222.15,221.5,220.84,220.19
106,DE035,Karlsruhe,POP_DENS,504.3,505.7,507.11,508.55,509.98,511.43,512.9,514.38,515.86,517.36,518.87,520.39,521.93,523.47,525.03
107,DE040,Saarbrücken,GREEN_AREA_PC,297.24,299.64,302.06,304.5,306.94,309.41,311.89,314.38,316.89,319.41,321.95,324.5,327.07,329.66,332.25
