id	relid	year	active_year	code_status	type_of_violence	conflict_dset_id	conflict_new_id	conflict_name	dyad_dset_id	dyad_new_id	dyad_name	side_a_dset_id	side_a_new_id	side_a	side_b_dset_id	side_b_new_id	side_b	number_of_sources	source_article	source_office	source_date	source_headline	source_original	where_prec	where_coordinates	where_description	adm_1	adm_2	latitude	longitude	geom_wkt	priogrid_gid	country	country_id	region	event_clarity	date_prec	date_start	date_end	deaths_a	deaths_b	deaths_civilians	deaths_unknown	best_est	high_est	low_est
220389	COL-2003-3-1632-17	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Malambo" http://rutasdelconflicto.com/interna.php?masacre=571					1	Bellavista town	Bellavista neighborhood in the urban municipality of Malambo, Atlántico	Atlántico department	Malambo municipality	10.86667	-74.83333	POINT (-74.833330 10.866670)	144931	Colombia	100	Americas	1	1	05/21/2003 00:00:00	05/21/2003 00:00:00	0	0	0	0	0	4	0
220390	COL-2003-1-237-12	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-02-23				The army	4	Caquetá department	Caqueta	Caquetá department		0.75	-74	POINT (-74.000000 0.750000)	130533	Colombia	100	Americas	1	1	02/23/2003 00:00:00	02/23/2003 00:00:00	0	3	0	0	3	3	3
220391	COL-2003-1-342-3	2003	False	Clear	1	1-92	289	Colombia:Government	342	624	Government of Colombia - ELN	100	17	Government of Colombia	1605	744	ELN	-1	Noche y Niebla 2003-02-26					4	Norte de Santander department	Norte de Santander	Norte de Santander department		8	-73	POINT (-73.000000 8.000000)	141335	Colombia	100	Americas	1	1	02/26/2003 00:00:00	02/26/2003 00:00:00	0	2	0	0	2	2	2
220392	COL-2003-1-237-13	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-02-27				The army	1	Aracataca town	Aracataca, 700 km north west of Bogotá.	Magdalena department	Aracataca municipality	10.591812	-74.189831	POINT (-74.189831 10.591812)	144932	Colombia	100	Americas	1	1	02/27/2003 00:00:00	02/27/2003 00:00:00	11	0	0	0	11	11	0
220393	COL-2003-3-1604-24	2003	True	Clear	3	1604	605	FARC - Civilians	1604	1072	FARC - Civilians	1604	743	FARC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Sonsón 2003" http://rutasdelconflicto.com/interna.php?masacre=582					3	Sonsón municipality	La Danta in the municipality of Sonsón, Antioquia	Antioquia department	Sonsón municipality	5.75	-75	POINT (-75.000000 5.750000)	137731	Colombia	100	Americas	1	1	02/22/2003 00:00:00	02/22/2003 00:00:00	0	0	5	0	5	5	5
220394	COL-2003-1-237-49	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	AP 2003-10-13				The army	1	Sácama town	Sacama in Casanare province	Casanare department	Sácama municipality	6.10232	-72.25281	POINT (-72.252810 6.102320)	138456	Colombia	100	Americas	2	2	10/11/2003 00:00:00	10/12/2003 00:00:00	0	3	0	0	3	3	3
220395	COL-2003-1-237-50	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	AP 2003-10-13				The army	1	Supatá town	Supata in state Cundinamarca	Cundinamarca department	Supatá municipality	5.06097	-74.23721	POINT (-74.237210 5.060970)	137012	Colombia	100	Americas	2	2	10/11/2003 00:00:00	10/12/2003 00:00:00	0	2	0	0	2	2	2
220396	COL-2003-3-1632-18	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Xinhua 2003-06-15 /Rutas del Conflicto "Masacre de Zabaletas 2003" http://rutasdelconflicto.com/interna.php?masacre=149				Local police sources	1	Zabaletas village	village of Zabaletas, Buenaventura municipality, Valle de Cauca. 560 km southwest of Bogotá	Valle del Cauca  department	Buenaventura municipality	3.443415	-76.575393	POINT (-76.575393 3.443415)	134127	Colombia	100	Americas	1	2	06/14/2003 00:00:00	06/15/2003 00:00:00	0	0	6	0	6	6	6
220397	COL-2003-3-1605-3	2003	True	Clear	3	1605	606	ELN - Civilians	1605	1073	ELN - Civilians	1605	744	ELN	9999	1	Civilians	-1	Reuters 2003-03-05				Police Col. Oscar Gambo and military officials	1	Cúcuta town	In Cucuta, capital of Santander state at the north east border with Venezuela.	Norte de Santander department	Cúcuta municipality	7.893907	-72.507821	POINT (-72.507821 7.893907)	140615	Colombia	100	Americas	1	1	03/05/2003 00:00:00	03/05/2003 00:00:00	0	0	7	0	7	7	7
220399	COL-2003-3-1604-25	2003	True	Clear	3	1604	605	FARC - Civilians	1604	1072	FARC - Civilians	1604	743	FARC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de La Tagua" http://rutasdelconflicto.com/interna.php?masacre=456					1	La Tagua town	La Tagua village, municipality of Puerto Leguizamo, Putumayo,	Putumayo department		-0.05623	-74.66267	POINT (-74.662670 -0.056230)	129091	Colombia	100	Americas	1	1	03/06/2003 00:00:00	03/06/2003 00:00:00	0	0	5	0	5	5	5
220400	COL-2003-3-1632-3	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	AP 2003-10-17				The rights group's spokeswoman Yolanda Becerra	1	Barrancabermeja town	The northern port city of Barrancabermeja	Santander department	Barrancabermeja municipality	7.065278	-73.854722	POINT (-73.854722 7.065278)	139893	Colombia	100	Americas	1	1	10/17/2003 00:00:00	10/17/2003 00:00:00	0	0	1	0	1	1	1
220401	COL-2003-1-237-36	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-09-04				Prosecution service official	1	Bogotá city	Bogotá	Bogotá department	Bogotá municipality	4.649178	-74.062827	POINT (-74.062827 4.649178)	136292	Colombia	100	Americas	1	1	09/04/2003 00:00:00	09/04/2003 00:00:00	1	0	0	0	1	1	1
220402	COL-2003-3-1632-19	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de El Triunfo" http://rutasdelconflicto.com/interna.php?masacre=365					3	Buenaventura municipality	neighborhood El Triunfo, municipality of Buenaventura, Valle del Cauca.	Valle del Cauca  department	Buenaventura municipality	3.86425	-77.03545	POINT (-77.035450 3.864250)	134846	Colombia	100	Americas	1	1	07/04/2003 00:00:00	07/04/2003 00:00:00	0	0	4	0	4	4	4
220403	COL-2003-3-6506-2	2003	False	Clear	3	6506	13757	Bloque Central Bolívar - Civilians	6506	14830	Bloque Central Bolívar - Civilians	6506	6506	Bloque Central Bolívar	9999	1	Civilians	-1	Reuters 2003-04-07 /Rutas del Conflicto "Masacre de Meseta de San Rafael" http://rutasdelconflicto.com/interna.php?masacre=419				Police and colleagues	1	Meseta de San Rafael town	village of Mesetas de San Rafael, Outside the city of Barrancabermeja, Santander	Santander department	Barrancabermeja municipality	7.14535	-73.58304	POINT (-73.583040 7.145350)	139893	Colombia	100	Americas	1	1	04/07/2003 00:00:00	04/07/2003 00:00:00	0	0	1	0	1	5	1
220404	COL-2003-1-237-14	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-04-18				A witness/elected officials blamed FARC	1	Dolores town	El Dolores, 200 km southeast of Bogotá.	Tolima  department	Dolores municipality	3.5391	-74.89752	POINT (-74.897520 3.539100)	134851	Colombia	100	Americas	1	1	04/18/2003 00:00:00	04/18/2003 00:00:00	1	0	1	0	2	2	2
220405	COL-2003-3-1632-2	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Pescadores" http://rutasdelconflicto.com/interna.php?masacre=71					3	Armero municipality	San Jorge farm, located in the municipality of Armero Guayabal, Tolima	Tolima  department	Armero municipality	4.98873	-74.8813	POINT (-74.881300 4.988730)	136291	Colombia	100	Americas	1	1	01/07/2003 00:00:00	01/07/2003 00:00:00	0	0	7	0	7	7	7
220406	COL-2003-1-237-16	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-05-05				Officials (military and govenment officials)	1	Urrao town	The northern Colombian town Urrao, Antioquia	Antioquia department	Urrao municipality	6.315197	-76.134201	POINT (-76.134201 6.315197)	138448	Colombia	100	Americas	1	1	05/05/2003 00:00:00	05/05/2003 00:00:00	10	0	0	0	10	10	10
220407	COL-2003-3-1632-20	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Saravena 2003" http://rutasdelconflicto.com/interna.php?masacre=70					2	Saravena town	San Luis neighborhood, on the outskirts of Saravena, Arauca	Arauca department	Saravena municipality	6.953758	-71.87523	POINT (-71.875230 6.953758)	139177	Colombia	100	Americas	1	1	07/22/2003 00:00:00	07/22/2003 00:00:00	0	0	5	0	5	5	5
220408	COL-2003-3-1632-21	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Caño Rayado" http://rutasdelconflicto.com/interna.php?masacre=160					1	Vereda Caño Rayado	Caño Rayado village,  municipality of Puerto Lleras, near the road between Villavicencio to San Jose del Guaviare, Meta province	Meta department	Puerto Lleras municipality	3.126	-73.401	POINT (-73.401000 3.126000)	134134	Colombia	100	Americas	1	1	08/22/2003 00:00:00	08/22/2003 00:00:00	0	0	4	0	4	4	4
220409	COL-2003-3-1632-22	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de La Majayura" http://rutasdelconflicto.com/interna.php?masacre=100					1	Majayura town	La Esperanza farm, located in the village of Majayura, municipality of Maicao in La Guajira	La Guajira department	Maicao municipality	11.16874	-72.2652	POINT (-72.265200 11.168740)	145656	Colombia	100	Americas	1	1	09/03/2003 00:00:00	09/03/2003 00:00:00	0	0	5	0	5	5	5
