Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	VAR	Dollars_th
IRONWOOD PHARMACEUTICALS, INC.	US043404176	15.079999999999998	1	NASDAQ National Market	Industrial company	Revenue	149555.0
PTC THERAPEUTICS, INC.	US043416587	18.28	1	NASDAQ National Market	Industrial company	Revenue	36766.0
AKAMAI TECHNOLOGIES INC	US043432319	17.95	1	NASDAQ National Market	Industrial company	Revenue	2197448.0
IPG PHOTONICS CORPORATION	US043444218	10.87	5	NASDAQ National Market	Industrial company	Revenue	901265.0
NXSTAGE MEDICAL, INC.	US043454702	13.53	1	NASDAQ National Market	Industrial company	Revenue	336123.0
INOTEK PHARMACEUTICALS CORPORATION	US043475813	8.23	4	NASDAQ National Market	Industrial company	Revenue	0.0
CIRCOR INTERNATIONAL INC	US043477276	20.09	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	656267.0
TECHTARGET INC	US043483216	4.760000000000002	6	NASDAQ National Market	Industrial company	Revenue	111826.0
CURIS INC	US043505116	10.43	4	NASDAQ National Market	Industrial company	Revenue	7878.0
SYNTA PHARMACEUTICALS CORP.	US043508648	3.62	5	NASDAQ National Market	Industrial company	Revenue	0.0
BERKSHIRE HILLS BANCORP INC	US043510455	13.95	1	New York Stock Exchange (NYSE)	Bank	Revenue	267304.0
AMERESCO INC	US043512838	3.66	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	630832.0
VIRTUSA CORPORATION	US043512883	15.94	1	NASDAQ National Market	Industrial company	Revenue	478986.0
EPIRUS BIOPHARMACEUTICALS, INC.	US043514457	2.44	13	NASDAQ National Market	Industrial company	Revenue	701.0
FIVE STAR QUALITY CARE, INC.	US043516029	8.78	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1365410.0
HISTOGENICS CORPORATION	US043522315	0.16	12	NASDAQ National Market	Industrial company	Revenue	0.0
INSULET CORPORATION	US043523891	15.38	1	NASDAQ National Market	Industrial company	Revenue	324225.0
TECOGEN INC.	US043536131	0.0	114	NASDAQ National Market	Industrial company	Revenue	21443.0
ASPEN AEROGELS, INC.	US043559972	4.83	11	New York Stock Exchange (NYSE)	Industrial company	Revenue	122518.0
IMPRIVATA, INC.	US043560178	4.05	11	New York Stock Exchange (NYSE)	Industrial company	Revenue	119120.0
MOMENTA PHARMACEUTICALS, INC.	US043561634	19.88	1	NASDAQ National Market	Industrial company	Revenue	89650.0
GALECTIN THERAPEUTICS INC.	US043562325	0.32	14	NASDAQ National Market	Industrial company	Revenue	0.0
ALERE INC	US043565120	9.77	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3000000.0
VITAE PHARMACEUTICALS, INC.	US043567753	5.54	9	NASDAQ National Market	Industrial company	Revenue	580.0
AMERICAN DG ENERGY INC	US043569304	0.86	11	NYSE MKT	Industrial company	Revenue	8557.0
FRANKLIN STREET PROPERTIES CORP.	US043578653	26.3	1	NYSE MKT	Financial company	Revenue	243867.0
AVEO PHARMACEUTICALS, INC.	US043581650	7.56	1	NASDAQ National Market	Industrial company	Revenue	19024.0
RADIANT LOGISTICS, INC.	US043625550	4.43	5	NYSE MKT	Industrial company	Revenue	502665.0
BANC OF CALIFORNIA INC	US043639825	5.89	2	New York Stock Exchange (NYSE)	Bank	Revenue	393112.0
OHR PHARMACEUTICAL, INC.	US043648721	4.23	5	NASDAQ National Market	Financial company	Revenue	0.0
VERIFONE SYSTEMS, INC.	US043692546	15.92	1	New York Stock Exchange (NYSE)	Financial company	Revenue	2000457.0
TELADOC, INC.	US043705970	5.199999999999998	6	New York Stock Exchange (NYSE)	Industrial company	Revenue	77384.0
TROVAGENE, INC.	US043721895	6.1400000000000015	2	NASDAQ National Market	Industrial company	Revenue	313.0
GLOBUS MEDICAL, INC.	US043744954	10.01	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	544753.0
TUMI HOLDINGS, INC.	US043799139	15.58	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	547655.0
INVUITY, INC.	US043803169	1.92	13	NASDAQ National Market	Industrial company	Revenue	21031.0
TRUECAR, INC.	US043807511	8.52	4	NASDAQ National Market	Industrial company	Revenue	259838.0
CHINA XD PLASTICS COMPANY LIMITED	US043836208	0.0	116	NASDAQ National Market	Industrial company	Revenue	999193.0
ROSETTA STONE INC	US043837082	2.72	12	New York Stock Exchange (NYSE)	Industrial company	Revenue	217670.0
EMPLOYERS HOLDINGS INC	US043850065	18.28	1	New York Stock Exchange (NYSE)	Insurance company	Revenue	697700.0
SIMON PROPERTY GROUP INC	US046268599	28.06	1	New York Stock Exchange (NYSE)	Financial company	Revenue	5266103.0
EQUITY COMMONWEALTH	US046558834	23.02	1	New York Stock Exchange (NYSE)	Financial company	Revenue	714891.0
HASBRO INC	US050155090	17.28	1	NASDAQ National Market	Industrial company	Revenue	4447509.0
NORTEK, INC.	US050314991	8.149999999999999	8	NASDAQ National Market	Industrial company	Revenue	2526100.0
TEXTRON INC	US050315468	17.65	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	13423000.0
ASTRO MED INC	US050318215	1.67	10	NASDAQ National Market	Industrial company	Revenue	94658.0
PROVIDENCE & WORCESTER RAILROAD CO	US050344399	0.0	114	NASDAQ National Market	Industrial company	Revenue	35797.0
UNITED NATURAL FOODS INC	US050376157	18.39	1	NASDAQ National Market	Industrial company	Revenue	8184978.0
WASHINGTON TRUST BANCORP INC	US050404671	9.87	2	NASDAQ National Market	Bank	Revenue	175000.0
CITIZENS FINANCIAL GROUP INC	US050412693	15.48	1	New York Stock Exchange (NYSE)	Bank	Revenue	3000000.0
KVH INDUSTRIES INC	US050420589	10.97	1	NASDAQ National Market	Industrial company	Revenue	184634.0
BIOSCRIP, INC.	US050489664	10.65	4	NASDAQ National Market	Industrial company	Revenue	982223.0
CVS HEALTH CORPORATION	US050494040	16.7	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	153290000.0
SHARPSPRING, INC.	US050502529	0.51	11	NASDAQ National Market	Industrial company	Revenue	14589.0
MARTIN MIDSTREAM PARTNERS L.P.	US050527861	0.0	140	NASDAQ National Market	Industrial company	Revenue	1036844.0
PENUMBRA, INC.	US050605598	0.9	11	New York Stock Exchange (NYSE)	Industrial company	Revenue	186095.0
ACME UNITED CORP	US060236700	0.0	115	NYSE MKT	Industrial company	Revenue	109812.0
